coddis,ano,turmas,pfx,matr,semestre,unidade
0110601,2014,59,011,89,ambos,ESALQ
0110601,2015,66,011,121,ambos,ESALQ
0110602,2012,10,011,15,ambos,ESALQ
0110602,2013,16,011,21,ambos,ESALQ
0110602,2014,4,011,6,ambos,ESALQ
0110602,2015,11,011,14,ambos,ESALQ
0110603,2012,2,011,2,2,ESALQ
0110603,2013,4,011,4,ambos,ESALQ
0110603,2014,3,011,3,ambos,ESALQ
0110603,2017,2,011,2,2,ESALQ
0110603,2018,6,011,6,ambos,ESALQ
0110603,2019,5,011,5,ambos,ESALQ
0110605,2019,1,011,1,2,ESALQ
0110606,2018,1,011,1,2,ESALQ
0110606,2019,2,011,2,ambos,ESALQ
0110606,2020,7,011,8,ambos,ESALQ
0110612,2012,1,011,52,2,ESALQ
0110612,2013,1,011,40,2,ESALQ
0110612,2014,1,011,53,2,ESALQ
0110612,2015,1,011,54,2,ESALQ
0110612,2016,1,011,39,2,ESALQ
0110612,2017,1,011,52,2,ESALQ
0110612,2018,1,011,61,2,ESALQ
0110612,2019,1,011,55,2,ESALQ
0110612,2020,1,011,46,2,ESALQ
0110660,2012,32,011,37,ambos,ESALQ
0110660,2013,28,011,30,ambos,ESALQ
0110660,2014,24,011,26,ambos,ESALQ
0110660,2015,24,011,25,ambos,ESALQ
0110660,2016,11,011,13,ambos,ESALQ
0110660,2017,30,011,32,ambos,ESALQ
0110660,2018,12,011,14,ambos,ESALQ
0110660,2019,23,011,29,ambos,ESALQ
0110660,2020,30,011,31,ambos,ESALQ
0110670,2012,7,011,7,2,ESALQ
0110670,2013,4,011,4,ambos,ESALQ
0110670,2014,7,011,8,ambos,ESALQ
0110670,2015,9,011,10,ambos,ESALQ
0110670,2016,4,011,4,2,ESALQ
0110670,2017,4,011,4,ambos,ESALQ
0110670,2018,8,011,9,ambos,ESALQ
0110670,2019,6,011,6,ambos,ESALQ
0110670,2020,4,011,4,ambos,ESALQ
0110680,2012,7,011,8,ambos,ESALQ
0110680,2013,7,011,8,ambos,ESALQ
0110680,2014,6,011,8,ambos,ESALQ
0110680,2015,6,011,7,ambos,ESALQ
0110680,2016,4,011,7,ambos,ESALQ
0110680,2017,6,011,6,ambos,ESALQ
0110680,2018,2,011,2,ambos,ESALQ
0110680,2019,3,011,3,ambos,ESALQ
0110680,2020,6,011,6,ambos,ESALQ
0110688,2012,1,011,32,2,ESALQ
0110688,2013,1,011,27,2,ESALQ
0110688,2014,1,011,36,2,ESALQ
0110688,2015,1,011,20,2,ESALQ
0110688,2016,1,011,27,2,ESALQ
0110688,2017,1,011,13,2,ESALQ
0110688,2019,1,011,23,2,ESALQ
0110690,2012,2,011,3,2,ESALQ
0110690,2013,2,011,2,ambos,ESALQ
0110690,2014,1,011,1,1,ESALQ
0110690,2017,1,011,1,2,ESALQ
0110690,2020,1,011,1,2,ESALQ
0110700,2012,2,011,2,ambos,ESALQ
0110700,2014,1,011,1,2,ESALQ
0110700,2015,2,011,2,1,ESALQ
0110710,2012,3,011,3,ambos,ESALQ
0110710,2013,1,011,2,1,ESALQ
0110710,2014,2,011,3,1,ESALQ
0110710,2016,1,011,1,2,ESALQ
0110710,2017,3,011,3,ambos,ESALQ
0110710,2018,4,011,5,ambos,ESALQ
0110710,2019,1,011,1,1,ESALQ
0110710,2020,4,011,4,ambos,ESALQ
0111000,2012,96,011,183,ambos,ESALQ
0111000,2013,108,011,185,ambos,ESALQ
0111000,2014,90,011,141,ambos,ESALQ
0111000,2015,107,011,190,ambos,ESALQ
0111000,2016,106,011,175,ambos,ESALQ
0111000,2017,102,011,188,ambos,ESALQ
0111000,2018,97,011,169,ambos,ESALQ
0111000,2019,94,011,159,ambos,ESALQ
0111000,2020,102,011,163,ambos,ESALQ
0111100,2016,12,011,24,ambos,ESALQ
0111100,2017,11,011,34,1,ESALQ
0111100,2018,14,011,30,ambos,ESALQ
0111100,2019,15,011,19,ambos,ESALQ
0111100,2020,21,011,35,ambos,ESALQ
0112000,2012,20,011,27,ambos,ESALQ
0112000,2013,20,011,31,ambos,ESALQ
0112000,2014,22,011,34,ambos,ESALQ
0112000,2015,27,011,45,ambos,ESALQ
0112000,2016,17,011,24,ambos,ESALQ
0112000,2017,24,011,33,ambos,ESALQ
0112000,2018,21,011,25,ambos,ESALQ
0112000,2019,21,011,39,ambos,ESALQ
0112000,2020,19,011,24,ambos,ESALQ
0112100,2016,15,011,30,ambos,ESALQ
0112100,2017,15,011,39,ambos,ESALQ
0112100,2018,15,011,24,ambos,ESALQ
0112100,2019,10,011,17,ambos,ESALQ
0112100,2020,17,011,26,ambos,ESALQ
0200101,2012,2,020,121,1,FD
0200101,2013,2,020,163,1,FD
0200101,2014,2,020,171,1,FD
0200101,2015,2,020,170,1,FD
0200101,2016,2,020,237,1,FD
0200101,2017,2,020,134,1,FD
0200102,2012,2,020,157,1,FD
0200102,2013,2,020,148,1,FD
0200102,2014,2,020,159,1,FD
0200102,2015,2,020,214,1,FD
0200102,2016,2,020,244,1,FD
0200102,2017,2,020,167,2,FD
0200103,2012,2,020,179,2,FD
0200103,2013,1,020,104,2,FD
0200104,2012,1,020,433,2,FD
0200104,2013,2,020,475,ambos,FD
0200104,2014,2,020,477,ambos,FD
0200104,2015,2,020,509,ambos,FD
0200104,2016,2,020,543,ambos,FD
0200104,2017,2,020,508,ambos,FD
0200104,2018,2,020,492,ambos,FD
0200104,2019,18,020,474,ambos,FD
0200104,2020,18,020,446,ambos,FD
0200105,2016,1,020,76,2,FD
0200105,2017,1,020,61,2,FD
0200109,2015,1,020,23,2,FD
0200109,2016,1,020,30,2,FD
0200109,2017,1,020,32,2,FD
0200110,2016,1,020,19,2,FD
0200110,2017,1,020,24,2,FD
0200110,2018,1,020,39,1,FD
0200110,2019,1,020,57,1,FD
0200111,2016,1,020,14,2,FD
0200111,2017,1,020,32,2,FD
0200112,2018,2,020,228,2,FD
0200112,2019,2,020,160,2,FD
0200112,2020,2,020,192,2,FD
0200120,2020,1,020,103,2,FD
0300001,2012,2,030,183,ambos,EP
0300001,2013,2,030,138,ambos,EP
0300001,2014,2,030,134,ambos,EP
0300001,2015,2,030,144,ambos,EP
0300001,2016,2,030,117,ambos,EP
0300001,2017,2,030,141,ambos,EP
0300001,2018,1,030,74,1,EP
0300002,2012,2,030,165,ambos,EP
0300002,2013,2,030,133,ambos,EP
0300002,2014,2,030,142,ambos,EP
0300002,2015,2,030,129,ambos,EP
0300002,2016,2,030,141,ambos,EP
0300002,2017,2,030,149,ambos,EP
0300002,2018,2,030,85,ambos,EP
0300021,2012,1,030,79,1,EP
0300021,2013,1,030,181,1,EP
0303200,2015,14,030,906,ambos,EP
0303200,2016,14,030,999,ambos,EP
0303200,2017,16,030,1012,ambos,EP
0303200,2018,15,030,1154,ambos,EP
0303200,2019,16,030,1051,ambos,EP
0303200,2020,15,030,1021,ambos,EP
0303212,2016,1,030,18,1,EP
0303212,2017,1,030,18,1,EP
0303212,2018,1,030,25,1,EP
0303212,2019,1,030,29,1,EP
0303410,2014,2,030,90,ambos,EP
0303410,2015,1,030,64,1,EP
0303410,2016,1,030,60,1,EP
0303410,2017,1,030,74,1,EP
0303410,2018,1,030,69,1,EP
0303410,2020,1,030,71,1,EP
0303411,2017,1,030,10,1,EP
0303411,2018,1,030,7,1,EP
0303411,2019,1,030,12,1,EP
0303411,2020,2,030,28,ambos,EP
0303412,2017,1,030,10,1,EP
0303412,2018,1,030,7,1,EP
0303412,2019,1,030,7,1,EP
0303412,2020,1,030,9,1,EP
0303420,2018,1,030,37,1,EP
0303420,2019,1,030,51,1,EP
0303541,2018,1,030,24,1,EP
0303541,2019,1,030,64,1,EP
