coddis	codtur	matr
4323101	2017190	51
4323101	2017250	333
4323102	2017201	87
4323102	2017202	86
4323102	2017203	91
4323102	2017204	88
4323102	2017205	81
4323102	2017206	89
4323102	2017207	88
4323102	2017208	93
4323102	2017209	88
4323102	2017210	93
4323102	2017211	86
4323102	2017212	92
4323102	2017290	48
4323201	2017101	24
4323201	2017102	18
4323201	2017103	19
4323201	2017104	22
4323201	2017105	22
4323201	2017106	22
4323201	2017107	22
4323201	2017108	23
4323201	2017109	5
4323201	2017110	22
4323201	2017111	17
4323201	2017112	23
4323201	2017113	20
4323201	2017114	22
4323201	2017115	24
4323201	2017116	25
4323201	2017117	23
4323201	2017118	22
4323201	2017119	22
4323201	2017120	22
4323201	2017121	22
4323201	2017122	20
4323201	2017123	23
4323201	2017124	21
4323201	2017125	22
4323201	2017126	23
4323201	2017127	20
4323201	2017128	20
4323201	2017129	22
4323201	2017130	14
4323201	2017131	10
4323201	2017132	12
4323201	2017133	18
4323201	2017134	21
4323201	2017135	21
4323201	2017136	17
4323201	2017137	22
4323201	2017138	19
4323201	2017191	27
4323202	2017221	82
4323202	2017222	74
4323202	2017241	72
4323202	2017242	63
4323202	2017251	70
4323202	2017252	60
4323202	2017261	97
4323202	2017262	96
4323202	2017263	65
4323202	2017264	55
4323202	2017291	24
4323203	2017101	80
4323203	2017102	82
4323203	2017103	72
4323203	2017104	65
4323203	2017105	84
4323203	2017106	79
4323203	2017107	74
4323203	2017108	78
4323203	2017109	77
4323203	2017110	74
4323203	2017111	82
4323203	2017112	77
4323203	2017190	31
4323204	2017201	73
4323204	2017202	71
4323204	2017203	69
4323204	2017204	56
4323204	2017205	64
4323204	2017206	79
4323204	2017207	77
4323204	2017208	61
4323204	2017209	84
4323204	2017290	21
4323301	2017101	15
4323301	2017102	15
4323301	2017103	14
4323301	2017104	15
4323301	2017105	18
4323301	2017106	15
4323301	2017107	14
4323301	2017108	9
4323301	2017109	4
4323301	2017110	18
4323301	2017111	16
4323301	2017112	18
4323303	2017101	23
4323303	2017102	20
4323303	2017103	10
4323303	2017104	9
4323303	2017105	8
4323303	2017106	12
4502400	2017242	47
4604400	2017110	56
4604400	2017210	46
4604500	2017150	14
4604500	2017250	23
4701241	2017201	22
4701280	2017201	67
4701381	2017201	73
4701582	2017101	77
4701783	2017101	70
4701784	2017102	1
4701784	2017103	6
4701784	2017104	1
4701784	2017105	2
4701784	2017106	1
4701784	2017110	3
4701784	2017111	1
4701784	2017112	3
4701784	2017115	1
4701784	2017116	4
4701784	2017119	1
4701784	2017120	2
4701784	2017121	2
4701784	2017122	2
4701784	2017124	1
4701784	2017125	7
4701784	2017126	1
4701784	2017202	5
4701784	2017205	1
4701784	2017206	1
4701784	2017208	1
4701784	2017209	1
4701784	2017210	1
4701784	2017212	2
4701784	2017215	1
4701784	2017217	6
4701784	2017218	2
4701784	2017219	2
4701784	2017221	1
4701885	2017102	1
4701885	2017103	6
4701885	2017104	1
4701885	2017112	1
4701885	2017113	1
4701885	2017116	3
4701885	2017119	4
4701885	2017120	1
4701885	2017121	1
4701885	2017122	3
4701885	2017124	2
4701885	2017125	1
4701885	2017126	3
4701885	2017127	3
4701885	2017202	6
4701885	2017203	1
4701885	2017205	3
4701885	2017207	1
4701885	2017208	1
4701885	2017209	1
4701885	2017212	4
4701885	2017214	2
4701885	2017217	3
4701885	2017218	1
4701885	2017219	1
4701885	2017220	1
4701885	2017222	1
4701885	2017224	1
4702893	2017103	7
4702893	2017104	1
4702893	2017105	1
4702893	2017106	1
4702893	2017108	1
4702893	2017110	2
4702893	2017111	2
4702893	2017115	1
4702893	2017116	2
4702893	2017117	3
4702893	2017118	2
4702893	2017119	1
4702893	2017120	1
4702893	2017123	1
4702893	2017202	12
4702893	2017206	2
4702893	2017208	1
4702893	2017209	1
4702893	2017210	5
4702893	2017213	1
4702893	2017214	7
4702893	2017215	1
4702893	2017216	1
4702893	2017217	7
4702893	2017218	2
4702893	2017219	2
4702893	2017221	1
4702994	2017103	3
4702994	2017108	1
4702994	2017110	2
