id	codclg	sglclg	codund
1359	981	CoDepto	18
1360	982	CoDepto	18
1361	983	CoDepto	18
1362	984	CoDepto	18
1363	986	CoDepto	18
1364	1081	CoDepto	22
1365	1082	CoDepto	22
1366	1083	CoDepto	22
1367	1112	CoDepto	23
1368	1113	CoDepto	23
1369	1114	CoDepto	23
1370	1115	CoDepto	23
1371	1116	CoDepto	23
1372	1117	CoDepto	23
1373	1118	CoDepto	23
1374	1166	CoDepto	25
1375	1167	CoDepto	25
1376	1168	CoDepto	25
1377	1169	CoDepto	25
1378	1173	CoDepto	25
1379	1174	CoDepto	25
1380	1231	CoDepto	27
1381	1232	CoDepto	27
1382	1233	CoDepto	27
1383	1234	CoDepto	27
1384	1235	CoDepto	27
1385	1236	CoDepto	27
1386	1237	CoDepto	27
1387	1238	CoDepto	27
1388	1449	CoDepto	39
1389	1450	CoDepto	39
1390	1451	CoDepto	39
1391	1475	CoDepto	41
1392	1476	CoDepto	41
1393	1477	CoDepto	41
1394	1478	CoDepto	41
1395	1479	CoDepto	41
1396	1522	CoDepto	42
1397	1523	CoDepto	42
1398	1524	CoDepto	42
1399	1525	CoDepto	42
1400	1526	CoDepto	42
1401	1527	CoDepto	42
1402	1528	CoDepto	42
1403	1564	CoDepto	43
1404	1565	CoDepto	43
1405	1566	CoDepto	43
1406	1567	CoDepto	43
1407	1568	CoDepto	43
1408	1569	CoDepto	43
1409	1664	CoDepto	45
1410	1665	CoDepto	45
1411	1666	CoDepto	45
1412	1667	CoDepto	45
1413	1715	CoDepto	46
1414	1716	CoDepto	46
1415	1738	CoDepto	47
1416	1739	CoDepto	47
1417	1740	CoDepto	47
1418	1741	CoDepto	47
1419	1760	CoDepto	48
1420	1761	CoDepto	48
1421	1762	CoDepto	48
1422	1947	CoDepto	55
1423	1949	CoDepto	55
1424	2019	CoDepto	58
1425	2020	CoDepto	58
1426	2021	CoDepto	58
1427	2022	CoDepto	58
1428	2023	CoDepto	58
1429	2048	CoDepto	59
1430	2049	CoDepto	59
1431	2050	CoDepto	59
1432	2051	CoDepto	59
1433	2081	CoDepto	60
1434	2082	CoDepto	60
1435	2084	CoDepto	60
1436	2470	CoDepto	74
1437	2471	CoDepto	74
1438	2472	CoDepto	74
1439	2488	CoDepto	75
1440	2489	CoDepto	75
1441	2508	CoDepto	76
1442	2509	CoDepto	76
1443	2614	CoDepto	11
1444	2615	CoDepto	11
1445	2616	CoDepto	11
1446	2618	CoDepto	11
1447	2619	CoDepto	11
1448	2620	CoDepto	11
1449	2621	CoDepto	18
1450	2642	CoDepto	44
1451	2643	CoDepto	44
1452	2692	CoDepto	3
1453	2693	CoDepto	3
1454	2694	CoDepto	3
1455	2695	CoDepto	3
1456	2696	CoDepto	5
1457	2799	CoDepto	17
1458	2800	CoDepto	17
1459	2801	CoDepto	17
1460	2802	CoDepto	17
1461	2803	CoDepto	17
1462	2804	CoDepto	17
1463	2880	CoDepto	18
1464	2914	CoDepto	81
1465	2921	CoDepto	81
1466	2922	CoDepto	81
1467	3298	CoDepto	55
1468	3385	CoDepto	55
1469	3477	CoDepto	89
1470	3478	CoDepto	89
1471	3479	CoDepto	89
1472	3607	CoDepto	11
1473	3608	CoDepto	11
1474	3688	CoDepto	59
1475	3689	CoDepto	59
1476	3690	CoDepto	59
